Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2008-08-15 18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2016-11-28 17:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Mon, 28 Nov 2016 17:16:26 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2009,5,21,22:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1091870,6398,NaN,NaN,NaN,NaN,0,0,25591,NaN,25,14
2009,5,25,20:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.16,2.73,2.8,2.65,200,0,0.26,0,2.91,0.24,479824,4265,2.02,2.04,2,0.94,0,0,0,44.89,25,NaN
2009,5,28,23:10:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,40519,1066,NaN,NaN,NaN,NaN,0,0,0,NaN,25,13.5
2009,6,1,18:05:00,35.17,-120.741,0,Cal Poly Pier,0,0,25.21,1.59,1.62,1.57,200,0,NaN,0,9.27,0.66,66109,4265,0.69,0.68,0.69,1.58,0,0,0,35.63,25,12.9
2009,6,4,22:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,1816940,4265,NaN,NaN,NaN,NaN,0,0,0,NaN,25,15.5
2009,6,8,21:50:00,35.17,-120.741,0,Cal Poly Pier,0,2133,0.73,7.05,6.98,7.13,110,0,0.16,0,2.27,0.13,1448000,8530,3.2,2.85,3.55,0.44,6398,0,0,60.24,25,16.2
2009,6,11,21:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,571524,6398,NaN,NaN,NaN,NaN,0,14928,0,NaN,25,13.5
2009,6,15,21:08:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.15,18.84,21.09,16.6,150,2133,NaN,0,2.01,0.28,3047420,4265,4.74,4.44,5.03,0.52,4265,8530,0,44.71,25,14
2009,6,18,22:50:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,2889610,0,NaN,NaN,NaN,NaN,0,70374,0,NaN,25,13.7
2009,6,22,19:20:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.08,5.65,5.77,5.53,200,0,NaN,0,5.94,0.52,1117460,6398,2.04,2.17,1.92,1.03,0,14928,0,48.14,25,12.6
2009,6,25,19:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,458499,12795,NaN,NaN,NaN,NaN,0,19193,0,NaN,25,13.3
2009,6,29,21:05:00,35.17,-120.741,0,Cal Poly Pier,0,2133,1.17,1.88,1.85,1.91,225,0,NaN,0,2.91,0.25,168472,6398,0.61,0.66,0.56,0.53,0,0,0,51.64,25,15.3
2009,7,2,19:41:00,35.17,-120.741,0,Cal Poly Pier,0,6398,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,106628,6398,NaN,NaN,NaN,NaN,0,0,0,NaN,25,15.4
2009,7,6,20:44:00,35.17,-120.741,0,Cal Poly Pier,0,8530,3.69,2.83,2.6,3.07,200,4265,NaN,0,3.31,0.41,110893,14928,0.87,0.97,0.77,0.82,10663,0,0,53.91,25,13.9
2009,7,9,19:22:00,35.17,-120.741,0,Cal Poly Pier,0,12795,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1605810,89567,NaN,NaN,NaN,NaN,2133,0,0,NaN,25,14.2
